id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
18,78193,Test Drive,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
42,6515,Moto Racer Advance,NULL,2002-10-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
159,43420,Ghost Vibration,NULL,2002-08-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
747,45170,Secret Agent Barbie: Royal Jewels Mission,NULL,2002-11-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
914,49850,Tennis no Oji-Sama: Genius Boys Academy,NULL,2002-05-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1290,49573,From TV animation One Piece: Nanatsu Shima no Daihihou,NULL,2002-12-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1297,27494,Keitai Denjuu Telefang 2: Power,NULL,2002-05-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1771,77121,Jet X2O,NULL,2002-10-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2258,100198,BeyBlade VForce: Super Tournament Battle,NULL,2002-12-19 00:00:00.000,NULL,NULL,NULL,NULL,38.0000,0
2342,44717,Dual Hearts,NULL,2002-10-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2503,70735,Jerusalem: The Three Roads to the Holy Land,"1552. Lord of the Ottoman dynasty, Sulaiman the Magnificent, reigns over the greatest empire in the world. In Jerusalem, the holy city where King David had built the Temple, where Christ preached and where the Prophet Mohammed was swept off to meet Allah, the three religions of the Book live in peace. Having become the confidante to the emissary of Sulaiman the Magnificent, Adrian is faced with the task of untangling the web of intrigue threatening the fragile balance that has been reached by the three communities of the Book. He will have to cooperate with the representative of all three communities in order to save the governor’s daughter.",2002-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
2856,240,Battlefield 1942,NULL,2002-09-10 00:00:00.000,61,NULL,90.0000,1,79.0072,191
3123,49499,Gachasute! Dino Device - Red,NULL,2002-08-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3343,49536,Komugi-Chan no Happy Cake,NULL,2002-12-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3393,4038,NCAA College Basketball 2K3,NULL,2002-12-11 00:00:00.000,NULL,NULL,NULL,NULL,44.0000,0
5836,51620,Star Trek Voyager: The Arcade Game,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5881,40550,Wing Shooting Championship,NULL,2002-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6309,70579,Liberal Crime Squad,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6669,6191,TD Overdrive: The Brotherhood of Speed,NULL,2002-05-27 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
7769,58526,Memorial Series: Sunsoft vol. 6,NULL,2002-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8228,135672,beatmania THE FINAL,NULL,2002-07-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8599,43894,Rageball,NULL,2002-08-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8665,1557,Pokémon Ruby,NULL,2002-11-21 00:00:00.000,87,NULL,NULL,NULL,81.6621,239
8691,132053,Backyard Baseball 2003,NULL,2002-06-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8996,49784,Shaman King: Chou Senjiryakketsu 2,NULL,2002-08-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9166,37319,Shaman King: Asu e no Ishi,NULL,2002-09-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9991,28196,MLB 2003,NULL,2002-06-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10430,8314,WRC II Extreme,NULL,2002-11-29 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
11201,43697,Night Raid,NULL,2002-10-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11348,4653,Beyblade : Let it Rip,NULL,2002-12-03 00:00:00.000,3,NULL,NULL,NULL,NULL,NULL
11599,68783,Seek and Destroy,NULL,2002-06-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11778,92303,Pichu Bros. Mini,"A collection of several minigames, included with the Pokémon mini. The minigames include: Hitmonchan's Boxing, where you shake the system to 'punch'; Pikachu's Rocket Start, a game where you have to launch off a starting line before another Pokémon; Bellossom's Dance, a Dance Dance Revolution-like game; Chansey's Dribble, kick the ball to the finish line as quickly as possible; Slowking's Judge, predict if the tennis ball will land in or out of the court; Sneasel's Fakeout, a rock-paper-scissors-like game for two players; Battlefield, where two to six players battle for the highest score; and Celebi's Clock, which is essentially a clock with date, alarm and stopwatch function.",2002-08-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11800,92306,Pokémon Sodateyasan Mini,"After setting the time and choosing a name, Professor Birch tells the player that he found rare eggs. However, he is too busy to take care of them, so he gives the player a choice between a Torchic, a Treecko, or a Mudkip to hatch and raise. The player's first task is to place the egg into a basket and stroke it until it hatches.

The player interacts with the Pokémon using the D-pad to move a cursor around the interface. The player can pet, play with, and drag their Pokémon with this cursor. They can also interact with background objects such as a light switch and a drawer.

Unlike standard virtual pet video games, the player's goal in Pokémon Breeder mini is not to keep the Pokémon alive but rather to train it in three out of four different skill categories. The game allows the player to train their Pokémon by playing with it using various toys, feeding it Pokéblocks, and playing with it outside in various challenges.",2002-12-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11823,91823,Pokémon Race Mini,"You have to run and jump over various obstacles in stages in order to get to the end before your opponent. There are obstacles throughout the stages such as grass and water.

You have to complete three laps of each course in order to finish, and with each lap you get a special charge attack in order to quickly shoot forwards, gaining momentum and possibly reaching parts you couldn't previously get to.",2002-07-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11829,5970,NightCaster II: Equinox,NULL,2002-12-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12890,185960,MayuShoot,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13089,22219,Downforce,NULL,2002-06-14 00:00:00.000,NULL,NULL,70.0000,1,NULL,NULL
13239,4021,Mr. Driller: Drill Land,NULL,2002-12-20 00:00:00.000,NULL,NULL,80.0000,2,74.0000,1
13925,49338,Santa Claus Jr. Advance,NULL,2002-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14277,73097,The Trials of Odysseus Kent,NULL,2002-09-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14384,45297,Cabela's Ultimate Deer Hunt: Open Season,NULL,2002-11-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14592,37281,Riviera: Yakusoku no Chi Riviera,NULL,2002-08-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14681,49156,Cubix: Robots for Everyone: Clash 'n Bash,NULL,2002-07-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14743,49279,GT Advance Rally Racing 2,NULL,2002-07-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14766,21952,Des Blood 4: Lost Alone,NULL,2002-09-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14994,8542,Extreme Paintbrawl 4,NULL,2002-05-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15004,49631,Higanbana,NULL,2002-11-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15076,4039,NCAA College Football 2K3,NULL,2002-08-07 00:00:00.000,NULL,NULL,NULL,NULL,41.0000,1
15556,11314,Unlimited SaGa,NULL,2002-12-19 00:00:00.000,NULL,NULL,43.0000,1,NULL,NULL
15762,49520,Card Party,NULL,2002-11-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15982,75965,GioGio's Bizarre Adventure,NULL,2002-07-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16113,22240,Twisted Metal: Black Online,"Black is on a mission for another person to locate and murder Calypso. However the person who sent him has never before been seen and it is never revealed why exactly he is carrying out this mission. According to the original Twisted Metal created in the year 1995, in TM:B the entire storyline is darker, and is referred to as an ""alternate universe,"" in comparison to the other Twisted Metal games. As stated, it is because it is all in Needles Kane's head. But there is even more to TM:B. Black, the driver of Manslaughter, made an appearance in TM(1995), Darkside's driver Mr. Ash's ""lost"" ending. In that ending he wants his demon ""black"" back, which makes one believe Mr. Ash is Satan. When he gets Black back, Calypso gets very upset. This is because Black is sent on a mission to kill a darker, more evil Calypso in the ""Black"" universe.",2002-09-22 00:00:00.000,NULL,NULL,40.0000,1,NULL,NULL
16148,2793,Rugrats: Royal Ransom,NULL,2002-12-31 00:00:00.000,1,NULL,NULL,NULL,34.0000,0
16167,261,Deer Hunter 2003: Legendary Hunting,NULL,2002-10-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
